Fecha,Temp[C]
14-Jan-2021 11:06:44,198
14-Jan-2021 11:06:44,198
14-Jan-2021 11:06:44,198
14-Jan-2021 11:06:44,98
14-Jan-2021 11:06:44,NaN
14-Jan-2021 11:06:44,197
14-Jan-2021 11:06:44,197
14-Jan-2021 11:06:44,197
14-Jan-2021 11:06:44,197
14-Jan-2021 11:06:44,197
14-Jan-2021 11:06:44,196
14-Jan-2021 11:06:44,196
14-Jan-2021 11:06:44,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,196
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,195
14-Jan-2021 11:06:45,94
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,194
14-Jan-2021 11:06:45,193
14-Jan-2021 11:06:45,193
14-Jan-2021 11:06:45,193
14-Jan-2021 11:06:45,193
14-Jan-2021 11:06:46,193
14-Jan-2021 11:06:46,193
14-Jan-2021 11:06:46,193
14-Jan-2021 11:06:46,3
14-Jan-2021 11:06:46,193
14-Jan-2021 11:06:46,193
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,92
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,92
14-Jan-2021 11:06:46,NaN
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,192
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,91
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,91
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,191
14-Jan-2021 11:06:46,190
14-Jan-2021 11:06:46,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,190
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,89
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,189
14-Jan-2021 11:06:47,NaN
14-Jan-2021 11:06:47,88
14-Jan-2021 11:06:47,NaN
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,187
14-Jan-2021 11:06:47,188
14-Jan-2021 11:06:47,187
14-Jan-2021 11:06:48,187
14-Jan-2021 11:06:48,187
